Northland
Cairnfield House,09 437 0186,cairnfieldhouse@xtra.co.nz
Palms Lifecare     ,09 238 9622,nager.palms@hll.org.nz
Papakura Private Hospital    ,09 299 6444,nfo@pphl.co.nz
Papatoetoe Residential Care  ,09 278 5370,sue@paprc.co.nz
Parkhaven Hospital,09 275 6069,heather.himiona@bupa.co.nz
Patrick Ferry House,09 444 6655,hm@patrickferryhouse.co.nz
Pinehaven Cottage,09 426 6695,nager@pinehavencottage.co.nz
Radius Arran Court,09 838 9817,ys.noys@rrcl.co.nz
Radius Taupaki Gables,09 412 6800,urel.winwood@rrcl.co.nz
Radius Waipuna     ,09 570 5565,judi.stratchan@rrcl.co.nz
Ranfurly Village Hospital Ltd,09 625 3400,enquiries@ranfurlyvillage.co.nz
Regency Home & Hospital,09 480 0829,bosnyak@xtra.co.nz
Remuera Care Home & Retirement,09 521 1262,penelope.dine@bupa.co.nz
Remuera Rise,09 522 7392,enquiries@remuerarise.co.nz
Royal Heights Rest Home (Royal Heights Care Ltd)     ,09 833 9333,dmin@rest-home.co.nz
Seadrome Home & Hospital     ,09 833 7506,na.chivers@xtra.co.nz
Selwyn Heights Retirement Village Limited,09 624 2600,selwynheights@selwyncare.org.nz
Selwyn Oaks,09 296 3800,hildaj@selwyncare.org.nz
Selwyn Village   ,09 846 0119,narenm@selwyncare.org.nz
Shalom Court     ,09 521 7325,ffice@shalomcourt.co.nz
St Andrew's Village    ,09 585 4020,ceo@standrewsvillage.co.nz
St Catherine's Rest Home     ,09 360 8009,sandra.hunt@stcatherines.org.nz
St Johns Retirement Village,09 268 5689,stjohnsvillage@oceaniahealthcare.co.nz
St Joseph's Home and Hospital  ,09 361 4600,s@lspauk.co.nz
St Patricks Home & Hospital  ,09 638 8258,saintpatricks@xtra.co.nz
Summerset by the Park,09 272 3950,nukau.manager@summerset.co.nz
Sunset Rest Home and Hospital,09 627 9094,pauline.mellor@bupa.co.nz
Sylvia Park Rest Home and Hospital,09 527 3131,sylviaparkresthome@xtra.co.nz
Takanini Lodge  ,09 298 1352,kanini@oceaniahealthcare.co.nz
Tasman Rest Home,09 837 5218,jane.whyte@bupa.co.nz
Te Mana,09 483 9209,emana@oceaniahealthcare.co.nz
Terence Kennedy House  ,09 818 2207,hm@terencekennedyhouse.co.nz
The Waratah Retirement Home  ,09 836 5775,ry1.waratah@gmail.com
Torbay Rest Home ,09 473 5977,rbayrh@xtra.co.nz
Ultimate Care Manurewa,09 267 2536,nager.manurewa@ultimatecare.co.nz
Ultimate Care Rosedale   ,09 414 1144,nager.rosedale@ultimatecare.co.nz
Waimarie Private Hospital,09 524 4405,nager@waimariehospital.nz
Waitakere Gardens,09 837 0512,ruths@metlifecare.co.nz
Warkworth Hospital Ltd       ,09 425 9950,warkhosp@xtra.co.nz
Wattle Downs,09 985 9700,elissa.brones@bupa.co.nz
Wesley     ,09 623 5178,wesley@oceaniahealthcare.co.nz
Waikato
Aparangi Village Residential Care Unit   ,07 826 3544,gm.tkretire@aparangi.co.nz
Armourdene Rest Home   ,07 839 5476,barrypohio@gmail.com
Avonlea Rest Home & Hospital ,07 896 8131,vonlea.resthome@xtra.co.nz
Beattie Community Trust Inc  ,07 873 8789,Lorraine@beattiehome.co.nz
Cambridge Resthaven    ,07 827 6097,resthaven@oceaniahealthcare.co.nz
Cardrona Resthome,07 883 3708,cardrona.rest@xtra.co.nz
Cascades Retirement Resort Ltd ,07 839 2348,nager@thecascades.co.nz
Eventhorpe,07 856 3063,sue.forster@bupa.co.nz
Hetherington House     ,07 863 8526,heth.house@xtra.co.nz
Hilda Ross Retirement Village,07 855 9542,wendy.taylor@hildaross.co.nz
Hillview Home    ,07 878 6904,gm@hillviewtk.co.nz
Kenwyn Home,07 884 8278,kenhome@xtra.co.nz
Lifecare Cambridge Hospital & Rest Home  ,07 827 5972,ffice@lifecarecambridge.co.nz
Matamata Country Lodge ,07 888 4090,@cantabria.co.nz
Mercy Assisi Home & Hospital ,07 856 3019,dmin@assisi.co.nz
Metlifecare Forest Lake,07 849 8243,colin@metlifecare.co.nz
Moana House & Village  ,07 865 9643,ffice@moanahouse.nz
Ohinemuri    ,07 862 7503,hinemuri@oceaniahealthcare.co.nz
Pohlen Hospital  ,07 881 9100,gregp@pohlen.co.nz
Radius Kensington    ,07 846 6489,radiuskensington@rrcl.co.nz
Radius Windsor Court   ,07 758 3642,radiuswindsor@rrcl.co.nz
Raeburn Lifecare   ,07 827 4454,nager.raeburn@hll.org.nz
Raglan Trust Hospital & Rest Home  ,09 416 1383,dmin@raglanhospital.co.nz
Rangiura Rest Home and Retirement Villages     ,07 883 8309,jeff.bennett@rangiura.co.nz
Rossendale Dementia Care Home & Hospital,07 854 7695,driana.turica@bupa.co.nz
San Michele Home & Hospital  ,07 871 6226,sanmichele@xtra.co.nz
Selwyn Wilson Carlile Village,07 838 1562,wilsoncarlile@selwyncare.org.nz
Selwyn Sunningdale Village,07 855 5465,sunningdale@selwyncare.co.nz
St Kilda Rest Home,07 827 0271,noo.baker@bupa.co.nz
Tamahere Eventide Home & Village   ,07 856 5162,dmin@tamahere.co.nz
Tarahill Rest Home     ,07 871 3672,rahillresthome@xtra.co.nz
Te Aroha District and Community Hospital and Rest Home,07 884 8519,sylvia@tahosp.org.nz
Te Ata Rest Home Limited     ,07 871 5617,eata.resthome@xtra.co.nz
Tararu Rest Home and Hospital,07 868 6176,sharen.landy@bupa.co.nz
The Booms Home and Hospital,07 868 7312,sharen.landy@bupa.co.nz
Trevellyn,07 838 3276,revellyn@oceaniahealthcare.co.nz
Victoria Place ,07 886 1572,victoriaplace@oceaniahealthcare.co.nz
Waihi Lifecare,07 863 8089,nager@waihilifecare.co.nz
Whitianga Rest Home   ,07 866 5483,whitianga@oceaniahealthcare.co.nz
Bay of Plenty
Accadia Manor Resthome,07 571 0052,rion.garfitt@bupa.co.nz
Aspen Rest Home  ,07 578 0979,nager@aspencare.co.nz
Athenree Resthome and Hospital ,07 863 4169,nager@athenreecare.co.nz
Bethlehem Views Limited,07 578 5500,nfo@sandersongroup.co.nz
Bob Owens,07 579 3041,brianbark@bobowens.co.nz
Cantabria Lifecare & Village   ,07 348 3226,nager.cantabria@hll.org.nz
Carter House Lifecare     ,07 573 7317,nager.carter@hll.org.nz
Cedar Manor Rest Home and Hospital,07 578 8300,n.dunthorne@bupa.co.nz
CHT Acacia Park,07 548 0400,btravers@cht.co.nz
CHT Bernadette,07 575 4855,bernadette@cht.co.nz
CHT Glynavon,07 573 6458,watson@cht.co.nz
Devonport Palms  ,07 578 0205,devonportpalms@hotmail.com
Elmswood Care  ,07 578 6177,elmswoodcare@oceaniahealthcare.co.nz
Golden Pond Home and Hospital  ,07 307 0180,golden.pond@xtra.co.nz
Hodgson House Lifecare  ,07 578 4846,nager.hodgson@hll.org.nz
Malyon House    ,07 575 5619,ffice@malyonhouse.co.nz
Mary Shapley Rest Home and Hospital,07 308 8980,glory-may.recierdo@bupa.co.nz
Melrose,07 578 6006,elrose@oceanialiving.co.nz
Metlifecare Bayswater  ,07 547 4047,delwyng@metlifecare.co.nz
Metlifecare Greenwood Park   ,07 544 7787,nnep@metlifecare.co.nz
Metlifecare Papamoa,07 542 1933,Janieh@metlifecare.co.nz
Metlifecare Somervale  ,07 572 9020,sharono@metlifecare.co.nz
Metlifecare The Avenues,07 571 0400,ynnm@metlifecare.co.nz
Mitchell Court,07 576 1899,nager@mitchellcourt.co.nz
Mountain View Rest Home and Hospital ,07 323 9392,reception@mountainviewkawerau.co.nz
Ohope Beach Care,07 312 4169,sally@ohopebeachcare.co.nz
The Lodge  ,07 543 0068,pyespa@xtra.co.nz
Radius Althorp    ,07 543 2912,
Radius Lexham Park     ,07 549 1015,julie.turnbull@rrcl.co.nz
Radius Matua Lifecare   ,07 576 2802,ua@radiuscare.net.nz
Sheaffs Resthome ,07 308 8837,sheaffs@clear.net.nz
Summerset by the Sea,07 985 6890,katikati.vm@summerset.co.nz
Te Puke Country Lodge Care Home,07 573 9983,chris.boudet@bupa.co.nz
Thornton Park Retirement Lodge,07 315 7867,nager@thorntonpark.co.nz
Ultimate Care Oakland,07 578 2514,kland@ultimatecare.co.nz
Lakes
Camellia Resthome,07 871 5505,camellia.resthome@xtra.co.nz
Fergusson Home   ,07 348 9053,fergusson@cantabria.co.nz
Liston Heights Rest Home and Hospital,07 378 2666,cheryl.ingramclark@bupa.co.nz
Makoha Rest Home & Hospital,07 347 8805,nfo@makoha.kiwi.nz
Monte Vista Residential Care ,07 378 0182,nager@montevista.co.nz
Redwood Home and Hospital,07 349 7150,robyn.fillipo@bupa.co.nz
St Barnabas Close Village,07 357 2121,nager.stbarnabas@hll.org.nz
St Johns Wood Trust   ,07 376 2000,stjohnswood@oceaniahealthcare.co.nz
Summerset Taupo  ,07 376 9470,upo@summerset.co.nz
The Gardens Rest Home and Hospital,07 347 9658,judi.geenty@bupa.co.nz
Wharerangi,07 378 4165,wharerangi@oceaniahealthcare.co.nz
Tairawhiti
Arohaina Village,06 867 5817,nager.tewiremu@hll.org.nz
Beetham Healthcare Limited,06 869 0028,heather@beetham.co.nz
Dunblane Lifecare & Village,06 867 4759,nager.dunblane@hll.org.nz
Kiri Te Kanawa Retirement Village,06 863 3636,chelle.duley@kiritekanawa.co.nz
Leighton House Rest Home ,06 867 7697,c@leightonhouse.co.nz
Te Wiremu House Lifecare & Bruere Village,06 867 5817,nager.tewiremu@hll.org.nz
Taranaki
Annie Brydon Lifecare & Village,06 278 6039,nager.anniebrydon@hll.org.nz
Brooklands Rest Home & Memory Care ,06 758 8422,cmont@xtra.co.nz
Brydon Court Resthome  ,06 278 6712,nnibry@xtra.co.nz
Chalmers Home    ,06 758 5190,chalmers@psc.org.nz
Elizabeth R Lifecare,06 765 8089,nager.elizabethr@hll.org.nz
Maida Vale Retirement Village,06 755 0558,dmin@maidavale.co.nz
Marinoto Rest Home,06 756 7170,dmin@marinotoresthome.co.nz
Marire Home (Agecare Central Ltd),06 765 717,neil@agecarecentral.co.nz
Maryann Home & Hospital  (Agecare Central Ltd),765 7551,peg@agecarecentral.co.nz
Molly Ryan Retirement Village (2007) Ltd ,06 757 8773,karen.scott@mollyryan.co.nz
Norfolk Lodge Rest Home,06 754 7016,nfo@norfolklodge.co.nz
Radius Heatherlea Care Centre,06 758 7302,sue.trafford@rrcl.co.nz
Radius Thornleigh Park ,06 758 3642,barbara.kay@rrcl.co.nz
Riverside Lifecare,06 758 1996,nager.riverside@hll.org.nz
Tainui Village   ,06 753 6597,dmin@tainuihome.co.nz
Taurima Rest Home,06 753 3358,nager@taurimaresthome.co.nz
Telford Lifecare,06 757 8554,nager.telford@hll.org.nz
Te Mahana Resthome     ,06 273 8442,nniebry@xtra.co.nz
The Cottage Rest Home,06 761 8009,cottageresthome@xtra.co.nz
Trinity Home & Hospital,06 278 4189,nager@trinityhawera.co.nz
Ultimate Care Rhapsody,06 759 0080,rhapsody@ultimatecare.co.nz
Whanganui 
Broadview Lifecare & Village,06 344 6915,nager.broadview@hll.org.nz
Edale Home,06 327 8562,edalerh@xtra.co.nz
Jane Winstone Retirement Village,06 345 6783,victoria.morris@janewinstone.co.nz
Kowhainui Home,06 349 1400,kowhainui@psc.org.nz
Masonic Court Wanganui,06 343 9091,sonic.court@xtra.co.nz
Nazareth Rest Home,06 345 8548,nager.nazareth@ssj.org.nz
St Johns Hill Healthcare      ,06 348 1500,sue.walker@stjohnshillhealthcare.co.nz
Summerset Wanganui,06 343 3133,wanganui.manager@summerset.co.nz
Hawke's Bay
Atawhai,06 845 9711,whai@oceaniahealthcare.co.nz
Bardowie Retirement Complex  ,06 843 2804,bardowie@xtra.co.nz
Brittany House Residential Care    ,06 878 5606,brtmgr@terranova.net.nz
Bryant House Rest Home and Dementia Care     ,06 844 7209,greg@bryanthouse.co.nz
Colwyn House Lifecare   ,06 870 9529,nager.colwyn@hll.org.nz
Duart,06 877 8016,duart@oceaniahealthcare.co.nz
Elmwood House and Hospital,06 834 4048,gm@ndmt.co.nz
Eversley Lifestyle Care & Village,06 878 2005,eversley@oceaniahealthcare.co.nz
Gladys Mary Resthome,06 844 4969,jane.fielding@bupa.co.nz
Gracelands Lifestyle Care & Village   ,06 873 8300,gracelands@oceaniahealthcare.co.nz
Glengarry Lifecare,06 838 4840,nager.glengarry@hll.org.nz
Mary Doyle Lifecare,06 873 8400,dmin@marydoyle.co.nz
Otatara Heights Residential Care,06 844 3535,slinnz@xtra.co.nz
Princess Alexandra Retirement Village    ,06 835 9085,princess@princessalexandra.co.nz
Radius Hampton Court   ,06 844 0063,radiushampton@rrcl.co.nz
Roseanne Retirement Home     ,06 843 0250,roseannerh@paradise.net.nz
Summerset Havelock North,06 877 1185,havelock.manager@summerset.co.nz
Summerset Napier Park     ,06 845 2840,napier.manager@summerset.co.nz
Summerville Rest Home  ,06 876 6978,summervillehome@hotmail.co.nz
St Lukes Close Village,06 872 8930,nager.waiapu@hll.org.nz
Taradale Masonic Residential Home & Hospital   ,06 845 9220,gm@ndmt.co.nz
Waiapu House Lifecare & Village ,06 872 8930,nager.waiapu@hll.org.nz
Waverley House Rest Home     ,06 844 3359,waverleyhouse@xtra.co.nz
Woburn Rest Home,06 858 9260,woburn@oceaniahealthcare.co.nz
MidCentral
Alexander House Rest Home    ,06 323 9326,exanderhouse@scovan.co.nz
Brightwater Home ,06 356 4190,brightwater@psc.org.nz
Chiswick Park Lifecare   ,06 354 4062,nager.chiswickpark@hll.org.nz
Cook Street Nursing Care Centre,06 358 8530,cookstncc@gmail.com
Coombrae Home    ,06 323 4491,coombrae@psc.org.nz
Eileen Mary Retirement Complex,06 374 8241,eileen.e@xtra.co.nz
Gardenview Rest Home,06 368 1070,emily.christensen@bupa.co.nz
Horowhenua Masonic Village   ,06 368 8077,hmvadmin@masonicvillages.co.nz
Julia Wallace Retirement Village   ,06 354 9262,pamela.scott@juliawallace.co.nz
Karina Lifecare,06 357 6051,nager.karina@hll.org.nz
Levin Home for War Veterans ,06 366 0052,wvh@psc.org.nz
Lonsdale Total Care / Riverside    ,06 363 8498,nager@lonsdalehospital.co.nz
Masonic Court Home Palmerston North   ,06 358 9399,pn-masonic@xtra.co.nz
Millvale House Levin   ,06 367 2027,cmlevin@millvale.co.nz
Olive Tree Rest Home,06 350 3000,nager@olivetreecomplex.co.nz
Palmerston Manor Lifecare,06 357 5919,nager.palmerstonmanor@hll.org.nz
Palmerston North Village,06 350 6400,debbien@metlifecare.co.nz
Radius Peppertree Care Centre,06 353 0004,helen.somers@rrcl.co.nz
Rahiri Lifestyle Care and Village,06 374 4155,elissa.clements@bupa.co.nz
Ranfurly Manor,06 323 5050,gm@ranfurlyrcc.co.nz
Reevedon Home    ,06 368 7900,reevedon@psc.org.nz
Summerset by the Ranges   ,06 367 0337,evin.manager@summerset.co.nz
Summerset on Summerhill   ,06 354 4964,palmerston.manager@summerset.co.nz
Te Whanau Rest Home & Hospital,06 368 1081,shani.mckee@bupa.co.nz
Ultimate Care Aroha   ,06 358 8093,nager.aroha@ultimatecare.co.nz
Ultimate Care Madison ,06 367 2305,dison@ultimatecare.co.nz
Waireka Care Home,06 376 8629,rish.bennetts@bupa.co.nz
Westella Homestead  ,06 323 9095,dalcam@dalcam.co.nz
Willard Elderly Care    ,06 357 6959,willard@psc.org.nz
Wimbledon Villa  ,06 323 4632,Jo.wimbledonvilla@xtra.co.nz
Winara Rest Home,04 293 6034,sandi.davison@bupa.co.nz
 ,,
Wairarapa
Aversham House Rest Home,6 377 2292,ctive88@xtra.co.nz
Carter Court      ,06 379 8075,nager@cartercourt.co.nz
Cornwall Resthome       ,06 377 4165,cornrest@xtra.co.nz
Glenwood Masonic Hospital Ltd ,06 377 0221,gmhenquiries@masoicvillages.co.nz
Kandahar Court ,,kandahar.court@psc.org.nz
Lansdowne Park Village,06 377 0123,dmin@lansdownepark.co.nz
Lyndale Villa      ,06 378 7059,yndaleresthome@xtra.co.nz
Roseneath Lifecare & Village     ,06 379 4018,nager.roseneath@hll.org.nz
Ultimate Care Greytown,06 304 8041,greytown@ultimatecare.co.nz
Ultimate Care Lansdowne Court         ,06 377 3339,nsdowne@ultimatecare.co.nz
Wairarapa Village   ,06 378 2577,yno@waiv.co.nz
Wharekaka Rest Home ,06 306 9701,nager@wharekaka.org.nz
Capital and Coast
Alexandra Rest Home,04 389 1232,nager@alexandra.org.nz
Aotea Home,04 478 9051,ea@psc.org.nz
Cashmere Home,04 477 7067,cashmere@psc.org.nz
Coastal Villas,04 296 6333,carolf@metlifecare.co.nz
Eldon,04 298 8199,eldon@oceaniahealthcare.co.nz
Millvale House Miramar,04 388 6780,ramar@millvale.co.nz
Harbourview Rest Home and Hospital,04 233 0756,shane.whaanga@bupa.co.nz
Huntleigh Home,04 464 2020,huntleigh@psc.org.nz
Irwell Rest Home,04 383 8485,john@irwell.co.nz
Kapiti Rest Home - Travelscapes Ltd,04 902 6048,karin@kapitiresthome.co.nz
Kapiti Retirement Trust / Sevenoaks Hospital,04 297 0116,ffice@retirekapiti.co.nz
Kapiti Village,04 296 1790,eeb@metlifecare.co.nz
Kemp Home & Hospital,04 236 8099,ria@kemphome.co.nz
Kena Kena Resthome,04 902 9099,kkresthome@gmail.com
Longview Home ,04 232 6842,ngview@psc.org.nz
Malvina Major Retirement Village,04 478 3754,jamie.preston@malvinamajor.co.nz
Millvale House Waikanae,04 904 4340,ramar@millvale.co.nz
Parkwood Lodge,04 293 5142,.rouse@parkwoodvillage.co.nz
Rita Angus Retirement Village,04 387 7626,racey.sprott@ritaangus.co.nz
Ruawai Resthome,06 323 5483,ndrea.ruawai@xtra.co.nz
Selwyn Sprott Village,04 476 8759,sprott.reception@selwynfoundation.org.nz
Summerset Aotea,04 235 0011,ea.manager@summerset.co.nz
Summerset Paraparaumu,04 298 3540,paraparaumumanager@summerset.co.nz
Te Hopai Home and Hospital,04 380 2002,pakize@tehopai.co.nz
Ultimate Care Churtonleigh,04 478 4273,churtonleigh@ultimatecare.co.nz
Ultimate Care Maupuia,04 388 7186,upuia@ultimatecare.co.nz
Ultimate Care Mt Victoria ,04 389 7007,untvictoria@ultimatecare.co.nz
Village at the Park Lifecare,04 380 1361,dmin@villageatthepark.co.nz
Vincentian Home and Hospital,04 380 0294,sue.delahunt@vincentian.co.nz
Waikanae Country Lodge Ltd,04 902 6800,pmanager@waikanaecountrylodge.co.nz
Whitby Rest Home and Hospital,04 234 7981,esme.labotsky@bupa.co.nz
Hutt Valley
Aroha Care Centre for the Elderly,04 567 1026,nager@arohacarecentre.co.nz
Eldersea,04 528 0670,elderslea@oceaniahealthcare.co.nz
Fergusson Rest Home and Hospital,04 528 7689,jan.jackson@bupa.co.nz
Heretaunga,04 527 8181,heretaunga@oceaniahealthcare.co.nz
Hutt Gables Village,04 526 9292,huttgables@oceaniahealthcare.co.nz
Manor Park Hospital,04 563 5240,ngie.green@mph.net.nz
Riverleigh Residential Care,04 569 7955,RVLmgr@terranova.net.nz
Ropata Lodge,04 920 0846,nager@ropatalodge.co.nz
Shona McFarlane Retirement Village,04 577 1090,racey.sprott@shonamcfarlane.co.nz
St Josephs Home of Compassion,04 528 5089,heresa.m@compassion.org.nz
Stokeswood Rest Home and Hospital,04 562 9060,sharlene.olsen@bupa.co.nz
Summerset at the Course,04 920 4360,rentham.manager@summerset.co.nz
Wesleyhaven Village,04 567 8766,krhind@wesleyca.org.nz
Woburn Home,04 569 6400,woburn@psc.org.nz
Woburn Masonic Village,04 569 6839,christine.townsend@masonicvillages.co.nz
Nelson Marlborough
Ashwood Park Retirement Village,03 577 9990,shwood@paradise.net.nz
Bethsaida Retirement Village,03 578 3341,dmin@bethsaida.co.nz
Ernest Rutherford Retirement Village,03 538 0880,durham.quigley@ernestrutherford.co.nz
Flaxmore Lifecare,03 546 9324,nager.flaxmore@hll.org.nz
Golden Bay Community Health,03 525 0100,gbch@nbph.org.nz
Green Gables,03 548 3114,greengables@oceaniahealthcare.co.nz
Jack Inglis Friendship Hospital,03 528 9662,nager@friendshiphospital.co.nz
Marina Cove Village,03 578 7983,rinacove@oceaniahealthcare.co.nz
Maxwell Lifecare,03 578 1239,nager.maxwell@hll.org.nz
Oakwoods,03 543 9700,
Otumarama Home & Hospital,03 547 5659,umarama@oceaniahealthcare.co.nz
Redwood,03 578 7691,redwood@oceaniahealthcare.co.nz
